rcid,session,vote,ccode,Country,CABB
5309,68,1,987,"Micronesia, Federated States of",FSM
5309,68,1,91,Honduras,HON
5309,68,2,165,Uruguay,URU
5309,68,1,225,Switzerland,SWZ
5309,68,2,92,El Salvador,SAL
5309,68,1,223,Liechtenstein,LIE
5309,68,1,94,Costa Rica,COS
5309,68,1,221,Monaco,MNC
5309,68,1,220,France,FRN
5309,68,8,860,East Timor,ETM
5309,68,8,935,Vanuatu,VAN
5309,68,8,947,Tuvalu,TUV
5309,68,2,501,Kenya,KEN
5309,68,1,740,Japan,JPN
5309,68,2,150,Paraguay,PAR
5309,68,1,155,Chile,CHL
5309,68,8,600,Morocco,MOR
